"species"
"Phalacrocorax auritus"
"Somateria mollissima"
"Morus bassanus"
"Larus delawarensis"
"Larus argentatus"
"Larus marinus"
"Phalacrocorax carbo"
"Cepphus grylle"
"Uria lomvia"
"Uria aalge"
"Fratercula arctica"
"Chroicocephalus ridibundus"
"Rissa tridactyla"
"Oceanodroma leucorhoa"
"Hydrobates leucorhoa"
"Alca torda"
"Gavia stellata"
"Sterna hirundo"
"Sterna paradisaea"
"Hydroprogne caspia"
"Sterna dougallii"
