french_name;scientific_name;Species Occurrence in Canada _Occurrence de l'espèce au Canada;pop_change_2016;pop_change_cat;data_source;reg_occ_native_sp;range_expanded_1970;sauvagine;oiseau_proie;milieux_humides;marin;forestiers;tous_autres;rivage;prairie;insectivores;espece_oie;sauvagine_milieux_humides_canards;prairires_indigene_dependante;prairie_tolerante_agricole;rivage_migrant_grande_distance;rivage_migrant_courte_distance;forest_winter_south_america;forest_winter_canada;forest_fruits_arbres
Martin-pêcheur d'Amérique;Megaceryle alcyon;Regular Breeder_Espèce qui niche régulièrement;-34;Decreasing_Diminution;BBS;1;;;;1;;;;;;;;;;;;;;;
Pic de Lewis;Melanerpes lewis;Regular Breeder_Espèce qui niche régulièrement;-64,6;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Pic à tête rouge;Melanerpes erythrocephalus;Regular Breeder_Espèce qui niche régulièrement;-39,2;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Pic à ventre roux;Melanerpes carolinus;Regular Breeder_Espèce qui niche régulièrement;7530;Increasing_Augmentation;BBS;;1;;;;;;;;;;;;;;;;;;
Pic de Williamson;Sphyrapicus thyroideus;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;1;;;;;;;;;;;;;
Pic maculé;Sphyrapicus varius;Regular Breeder_Espèce qui niche régulièrement;7,14;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Pic à nuque rouge;Sphyrapicus nuchalis;Regular Breeder_Espèce qui niche régulièrement;130;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Pic à poitrine rouge;Sphyrapicus ruber;Regular Breeder_Espèce qui niche régulièrement;321;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;
Pic mineur;Picoides pubescens;Regular Breeder_Espèce qui niche régulièrement;24,8;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;1;
Pic chevelu;Picoides villosus;Regular Breeder_Espèce qui niche régulièrement;101;Increasing_Augmentation;CBC CA_RON CA;1;;;;;;1;;;;;;;;;;;;1;
Pic à tête blanche;Picoides albolarvatus;Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;1;;;;;;;;;;;;1;
Pic à dos rayé;Picoides dorsalis;Regular Breeder_Espèce qui niche régulièrement;403;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;
Pic à dos noir;Picoides arcticus;Regular Breeder_Espèce qui niche régulièrement;433;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;
Pic flamboyant;Colaptes auratus;Regular Breeder_Espèce qui niche régulièrement;-35,7;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Grand Pic;Dryocopus pileatus;Regular Breeder_Espèce qui niche régulièrement;283;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;
Crécerelle d'Amérique;Falco sparverius;Regular Breeder_Espèce qui niche régulièrement;-38;Decreasing_Diminution;BBS;1;;;1;;;;;;1;;;;;1;;;;;
Faucon émerillon;Falco columbarius;Regular Breeder_Espèce qui niche régulièrement;493;Increasing_Augmentation;BBS;1;;;1;;;;;;;;;;;;;;;;
Faucon gerfaut;Falco rusticolus;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;1;;;;;;;;;;;;;;;;
Faucon pèlerin;Falco peregrinus;Regular Breeder_Espèce qui niche régulièrement;424;Increasing_Augmentation;CBC CA_RON CA;1;;;1;;;;;;;;;;;;;;;;
Faucon des prairies;Falco mexicanus;Regular Breeder_Espèce qui niche régulièrement;41,7;Increasing_Augmentation;CBC CA_RON CA;1;;;1;;;;;;1;;;;;1;;;;;
Moucherolle à côtés olive;Contopus cooperi;Regular Breeder_Espèce qui niche régulièrement;-65,5;Decreasing_Diminution;BBS;1;;;;;;1;;;;1;;;;;;;1;;
Pioui de l'Ouest;Contopus sordidulus;Regular Breeder_Espèce qui niche régulièrement;-53,3;Decreasing_Diminution;BBS;1;;;;;;1;;;;1;;;;;;;1;;
Pioui de l'Est;Contopus virens;Regular Breeder_Espèce qui niche régulièrement;-67,3;Decreasing_Diminution;BBS;1;;;;;;1;;;;1;;;;;;;1;;
Moucherolle à ventre jaune;Empidonax flaviventris;Regular Breeder_Espèce qui niche régulièrement;60,6;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Moucherolle vert;Empidonax virescens;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;1;;;;;;;;;;;1;;
Moucherolle des aulnes;Empidonax alnorum;Regular Breeder_Espèce qui niche régulièrement;29,7;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;1;;
Moucherolle des saules;Empidonax traillii;Regular Breeder_Espèce qui niche régulièrement;-53,9;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Moucherolle tchébec;Empidonax minimus;Regular Breeder_Espèce qui niche régulièrement;-44,8;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Moucherolle de Hammond;Empidonax hammondii;Regular Breeder_Espèce qui niche régulièrement;85,7;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Moucherolle gris;Empidonax wrightii;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Moucherolle sombre;Empidonax oberholseri;Regular Breeder_Espèce qui niche régulièrement;76,5;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Moucherolle côtier;Empidonax difficilis;Regular Breeder_Espèce qui niche régulièrement;216;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Moucherolle des ravins;Empidonax occidentalis;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;1;;;;;;;;;;;;;
Moucherolle phébi;Sayornis phoebe;Regular Breeder_Espèce qui niche régulièrement;-41,7;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Moucherolle à ventre roux;Sayornis saya;Regular Breeder_Espèce qui niche régulièrement;110;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Tyran huppé;Myiarchus crinitus;Regular Breeder_Espèce qui niche régulièrement;-25;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Tyran de l'Ouest;Tyrannus verticalis;Regular Breeder_Espèce qui niche régulièrement;7,39;Stable_Stables;BBS;1;;;;;;;;;1;;;;;1;;;;;
Tyran tritri;Tyrannus tyrannus;Regular Breeder_Espèce qui niche régulièrement;-45,9;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;1;;
Pie-grièche migratrice;Lanius ludovicianus;Regular Breeder_Espèce qui niche régulièrement;-76,9;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;;;;;;;
Pie-grièche boréale;Lanius borealis;Regular Breeder_Espèce qui niche régulièrement;-15,7;Stable_Stables;CBC CA_RON CA;1;;;;;;;1;;;;;;;;;;;;
Viréo aux yeux blancs;Vireo griseus;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Viréo de Hutton;Vireo huttoni;Regular Breeder_Espèce qui niche régulièrement;238;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;
Viréo à gorge jaune;Vireo flavifrons;Regular Breeder_Espèce qui niche régulièrement;47,1;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Viréo de Cassin;Vireo cassinii;Regular Breeder_Espèce qui niche régulièrement;14,4;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Viréo à tête bleue;Vireo solitarius;Regular Breeder_Espèce qui niche régulièrement;279;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Viréo de Philadelphie;Vireo philadelphicus;Regular Breeder_Espèce qui niche régulièrement;210;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Viréo mélodieux;Vireo gilvus;Regular Breeder_Espèce qui niche régulièrement;49,5;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Viréo aux yeux rouges;Vireo olivaceus;Regular Breeder_Espèce qui niche régulièrement;45,8;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Mésangeai du Canada;Perisoreus canadensis;Regular Breeder_Espèce qui niche régulièrement;-66,9;Decreasing_Diminution;CBC CA_RON CA;1;;;;;;1;;;;;;;;;;;;1;
Geai de Steller;Cyanocitta stelleri;Regular Breeder_Espèce qui niche régulièrement;84,3;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;
Geai bleu;Cyanocitta cristata;Regular Breeder_Espèce qui niche régulièrement;62,4;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Geai buissonnier;Aphelocoma californica;Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Cassenoix d'Amérique;Nucifraga columbiana;Regular Breeder_Espèce qui niche régulièrement;58,3;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;1
Pie d'Amérique;Pica hudsonia;Regular Breeder_Espèce qui niche régulièrement;-29,3;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Corneille d'Amérique;Corvus brachyrhynchos;Regular Breeder_Espèce qui niche régulièrement;-21,6;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Corneille d'Alaska;Corvus caurinus;Regular Breeder_Espèce qui niche régulièrement;43,5;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Grand Corbeau;Corvus corax;Regular Breeder_Espèce qui niche régulièrement;223;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Alouette des champs;Alauda arvensis;Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ;-96,4;Decreasing_Diminution;CBC CA_RON CA;;;;;;;;;;;;;;;;;;;;
Alouette hausse-col;Eremophila alpestris;Regular Breeder_Espèce qui niche régulièrement;-88,9;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;;1;;;;;
Hirondelle noire;Progne subis;Regular Breeder_Espèce qui niche régulièrement;-21,3;Stable_Stables;BBS;1;;;;;;;;;;1;;;;;;;;;
Hirondelle bicolore;Tachycineta bicolor;Regular Breeder_Espèce qui niche régulièrement;-40,5;Decreasing_Diminution;BBS;1;;;;;;;;;;1;;;;;;;;;
Hirondelle à face blanche;Tachycineta thalassina;Regular Breeder_Espèce qui niche régulièrement;-13,3;Stable_Stables;BBS;1;;;;;;;;;;1;;;;;;;;;
Hirondelle à ailes hérissées;Stelgidopteryx serripennis;Regular Breeder_Espèce qui niche régulièrement;-41,4;Decreasing_Diminution;BBS;1;;;;;;;;;;1;;;;;;;;;
Hirondelle de rivage;Riparia riparia;Regular Breeder_Espèce qui niche régulièrement;-95,1;Decreasing_Diminution;BBS;1;;;;;;;;;;1;;;;;;;;;
Hirondelle à front blanc;Petrochelidon pyrrhonota;Regular Breeder_Espèce qui niche régulièrement;-66,6;Decreasing_Diminution;BBS;1;;;;;;;;;;1;;;;;;;;;
Hirondelle rustique;Hirundo rustica;Regular Breeder_Espèce qui niche régulièrement;-67,4;Decreasing_Diminution;BBS;1;;;;;;;;;;1;;;;;;;;;
Mésange à tête noire;Poecile atricapillus;Regular Breeder_Espèce qui niche régulièrement;63,9;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;
Mésange de Gambel;Poecile gambeli;Regular Breeder_Espèce qui niche régulièrement;49;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;
Mésange à dos marron;Poecile rufescens;Regular Breeder_Espèce qui niche régulièrement;-35,8;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;1;
Mésange à tête brune;Poecile hudsonicus;Regular Breeder_Espèce qui niche régulièrement;-10,7;Stable_Stables;CBC CA_RON CA;1;;;;;;1;;;;;;;;;;;;1;
Mésange lapone;Poecile cinctus;Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Mésange bicolore;Baeolophus bicolor;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;1;;;;;;;;;;;;1;
Mésange buissonnière;Psaltriparus minimus;Regular Breeder_Espèce qui niche régulièrement;328;Increasing_Augmentation;CBC CA_RON CA;;1;;;;;;;;;;;;;;;;;;
Sittelle à poitrine rousse;Sitta canadensis;Regular Breeder_Espèce qui niche régulièrement;148;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;
Sittelle à poitrine blanche;Sitta carolinensis;Regular Breeder_Espèce qui niche régulièrement;178;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;
Sittelle pygmée;Sitta pygmaea;Regular Breeder_Espèce qui niche régulièrement;-24,5;Stable_Stables;CBC CA_RON CA;1;;;;;;1;;;;;;;;;;;;1;
Grimpereau brun;Certhia americana;Regular Breeder_Espèce qui niche régulièrement;136;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;1;
Troglodyte des rochers;Salpinctes obsoletus;Regular Breeder_Espèce qui niche régulièrement;-11,3;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Troglodyte des canyons;Catherpes mexicanus;Regular Breeder_Espèce qui niche régulièrement;1,26;Stable_Stables;CBC CA_RON CA;1;;;;;;;1;;;;;;;;;;;;
Troglodyte familier;Troglodytes aedon;Regular Breeder_Espèce qui niche régulièrement;18,7;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Troglodyte de Baird;Troglodytes pacificus;Regular Breeder_Espèce qui niche régulièrement;19,4;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;1;
Troglodyte des forêts;Troglodytes hiemalis;Regular Breeder_Espèce qui niche régulièrement;3,21;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Troglodyte à bec court;Cistothorus platensis;Regular Breeder_Espèce qui niche régulièrement;25;Stable_Stables;BBS;1;;;;1;;;;;;;;;;;;;;;
Troglodyte des marais;Cistothorus palustris;Regular Breeder_Espèce qui niche régulièrement;283;Increasing_Augmentation;BBS;1;;;;1;;;;;;;;;;;;;;;
Troglodyte de Caroline;Thryothorus ludovicianus;Regular Breeder_Espèce qui niche régulièrement;1400;Increasing_Augmentation;BBS;;1;;;;;;;;;;;;;;;;;;
Troglodyte de Bewick;Thryomanes bewickii;Regular Breeder_Espèce qui niche régulièrement;-53,6;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;1;
Gobemoucheron gris-bleu;Polioptila caerulea;Regular Breeder_Espèce qui niche régulièrement;822;Increasing_Augmentation;BBS;;1;;;;;;;;;;;;;;;;;;
Cincle d'Amérique;Cinclus mexicanus;Regular Breeder_Espèce qui niche régulièrement;-10,2;Stable_Stables;BBS;1;;;;1;;;;;;;;;;;;;;;
Roitelet à couronne dorée;Regulus satrapa;Regular Breeder_Espèce qui niche régulièrement;43,2;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Roitelet à couronne rubis;Regulus calendula;Regular Breeder_Espèce qui niche régulièrement;-30;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;1;;;;;;;;;;;;;
Gorgebleue à miroir;Luscinia svecica;Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Traquet motteux;Oenanthe oenanthe;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Merlebleu de l'Est;Sialia sialis;Regular Breeder_Espèce qui niche régulièrement;151;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Merlebleu de l'Ouest;Sialia mexicana;Regular Breeder_Espèce qui niche régulièrement;602;Increasing_Augmentation;BBS;1;;;;;;1;;;;;;;;;;;;;
Merlebleu azuré;Sialia currucoides;Regular Breeder_Espèce qui niche régulièrement;-18,6;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Solitaire de Townsend;Myadestes townsendi;Regular Breeder_Espèce qui niche régulièrement;31,2;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Grive fauve;Catharus fuscescens;Regular Breeder_Espèce qui niche régulièrement;-20,9;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;1;;
Grive à joues grises;Catharus minimus;Regular Breeder_Espèce qui niche régulièrement;-64,1;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;1;;
Grive de Bicknell;Catharus bicknelli;Regular Breeder_Espèce qui niche régulièrement;-90,9;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Grive à dos olive;Catharus ustulatus;Regular Breeder_Espèce qui niche régulièrement;1,02;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;1;;
Grive solitaire;Catharus guttatus;Regular Breeder_Espèce qui niche régulièrement;-23,9;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;
Grive des bois;Hylocichla mustelina;Regular Breeder_Espèce qui niche régulièrement;-72,5;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;
Merle d'Amérique;Turdus migratorius;Regular Breeder_Espèce qui niche régulièrement;7,37;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Grive à collier;Ixoreus naevius;Regular Breeder_Espèce qui niche régulièrement;29,8;Stable_Stables;BBS;1;;;;;;1;;;;;;;;;;;;;1
Moqueur chat;Dumetella carolinensis;Regular Breeder_Espèce qui niche régulièrement;-8,33;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Moqueur roux;Toxostoma rufum;Regular Breeder_Espèce qui niche régulièrement;-38,5;Decreasing_Diminution;BBS;1;;;;;;;1;;;;;;;;;;;;
Moqueur des armoises;Oreoscoptes montanus;Regular Breeder_Espèce qui niche régulièrement;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Moqueur polyglotte;Mimus polyglottos;Regular Breeder_Espèce qui niche régulièrement;17,8;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Étourneau sansonnet;Sturnus vulgaris;Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ;-65,6;Decreasing_Diminution;BBS;;;;;;;;;;;;;;;;;;;;
Jaseur boréal;Bombycilla garrulus;Regular Breeder_Espèce qui niche régulièrement;-45,3;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;1;;;;;;;;;;;;1;1
Jaseur d'Amérique;Bombycilla cedrorum;Regular Breeder_Espèce qui niche régulièrement;14,6;Stable_Stables;BBS;1;;;;;;;1;;;;;;;;;;;;
Moineau domestique;Passer domesticus;Non-native Regular Breeder_Espèce non-indigène qui niche régulièrement ;-81,5;Decreasing_Diminution;BBS;;;;;;;;;;;;;;;;;;;;
Bergeronnette de Béringie;Motacilla tschutschensis;Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle;;;No acceptable data available_On ne dispose pas de données acceptables;1;;;;;;;1;;;;;;;;;;;;
Pipit d'Amérique;Anthus rubescens;Regular Breeder_Espèce qui niche régulièrement;-59,8;Decreasing_Diminution;CBC NA_RON AmN;1;;;;;;;1;;;;;;;;;;;;
Pipit de Sprague;Anthus spragueii;Regular Breeder_Espèce qui niche régulièrement;-86,5;Decreasing_Diminution;BBS;1;;;;;;;;;1;;;;1;;;;;;
Gros-bec errant;Coccothraustes vespertinus;Regular Breeder_Espèce qui niche régulièrement;-88,3;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;1;1
Durbec des sapins;Pinicola enucleator;Regular Breeder_Espèce qui niche régulièrement;-65,4;Decreasing_Diminution;CBC CA_RON CA;1;;;;;;1;;;;;;;;;;;;1;1
Roselin à tête grise;Leucosticte tephrocotis;Regular Breeder_Espèce qui niche régulièrement;121;Increasing_Augmentation;CBC NA_RON AmN;1;;;;;;;1;;;;;;;;;;;;
Roselin familier;Haemorhous mexicanus;Regular Breeder_Espèce qui niche régulièrement;87,2;Increasing_Augmentation;BBS;1;;;;;;;1;;;;;;;;;;;;
Roselin pourpré;Haemorhous purpureus;Regular Breeder_Espèce qui niche régulièrement;-34;Decreasing_Diminution;BBS;1;;;;;;1;;;;;;;;;;;;;1
