Larus californicus;Is not a Qc breeding bird
Passerina ciris;Is not a Qc breeding bird
Turdus philomelos;Is not a Qc breeding bird
Tyrannus verticalis;Is not a Qc breeding bird
Egretta garzetta;Is not a Qc breeding bird
Larus crassirostris;Is not a Qc breeding bird
Passerina caerulea;Is not a Qc breeding bird
Gelochelidon nilotica;Is not a Qc breeding bird
Setophaga citrina;Is not a Qc breeding bird
Calypte anna;Is not a Qc breeding bird
Egretta tricolor;Is not a Qc breeding bird
Piranga rubra;Is not a Qc breeding bird
Synthliboramphus antiquus;Is not a Qc breeding bird
Melanitta nigra;Is not a Qc breeding bird
Setophaga dominica;Is not a Qc breeding bird
Geothlypis formosa;Is not a Qc breeding bird
Himantopus mexicanus;Is not a Qc breeding bird
Phalacrocorax brasilianus;Is not a Qc breeding bird
Rynchops niger;Is not a Qc breeding bird
Ictinia mississippiensis;Is not a Qc breeding bird
Uria aalge;Is a marine species
Fratercula arctica;Is a marine species
Rissa tridactyla;Is a marine species
Uria lomvia;Is a marine species
Larus argentatus;Is a marine species
Larus delawarensis;Is a marine species
Cepphus grylle;Is a marine species
Alca torda;Is a marine species
Hydroprogne caspia;Is a marine species
Phalacrocorax carbo;Is a marine species
Larus marinus;Is a marine species
Sterna paradisaea;Is a marine species
Oceanodroma leucorhoa;Is a marine species
Gavia stellata;Is a marine species
Somateria mollissima;Is a marine species
Morus bassanus;Is a marine species
Chroicocephalus ridibundus;Is a marine species
Phalacrocorax auritus;Is a marine species
Sterna hirundo;Is a marine species
Sterna dougallii;Is a marine species
Lanius ludovicianus;Not enough data
Lagopus muta;Not enough data
Gavia pacifica;Not enough data
Stercorarius pomarinus;Not enough data
Setophaga cerulea;Not enough data
Icterus spurius;Not enough data
Sturnella neglecta;Not enough data
Vermivora cyanoptera;Not enough data
Parkesia motacilla;Not enough data
Limosa fedoa;Not enough data
Oenanthe oenanthe;Not enough data
Stercorarius longicaudus;Not enough data
Phalaropus fulicarius;Not enough data
